,Player,Dealer,Ace,Hit Flag,Stand,Hit,Double Down,Surrender,Best Action Index,Best Action
512,16,9,0,0,-104.97047841377673,-89.69677196385578,-139.77242473943642,-74.37682543582241,3,Su
513,16,9,0,1,-53.521208071534645,-118.07367745751543,-195.0479845632554,-360.9436299019145,0,S
514,16,9,1,0,-28.030438703647498,-37.85446570417401,-74.68504721141096,-51.77424981096611,0,S
515,16,9,1,1,-31.295626206107585,-33.15266219023948,-192.03278914221153,-272.862868550086,0,S
516,16,10,0,0,-108.18603301607128,-101.5951663456791,-160.6410881388232,-101.27607919337085,3,Su
517,16,10,0,1,-125.87241225530683,-101.55941138876537,-1028.8484328858879,-913.5848766881306,1,H
518,16,10,1,0,-61.67017956729785,-56.49147183361577,-61.860472664764266,-74.18205579349032,1,H
519,16,10,1,1,-70.580325304499,-51.90262206644269,-349.7967674509385,-193.515250809346,1,H
520,17,1,0,0,-109.11649964195104,-107.86048794309205,-118.76266305729482,-82.74922143996582,3,Su
521,17,1,0,1,-123.43368603834432,-94.26821438061668,-930.6538257382914,-899.372486633371,1,H
522,17,1,1,0,-70.68194074666337,-69.40095948890107,-81.6023756394667,-74.37017166929294,1,H
523,17,1,1,1,-40.12858771759073,-43.29510154799949,-100.0,-100.0,0,S
524,17,2,0,0,-50.59409041721949,-77.59216983979154,-103.52105069441764,-81.51489783061098,0,S
525,17,2,0,1,-50.28188984229194,-91.19396774610823,-492.3724113681158,-687.2287845793749,0,S
526,17,2,1,0,-31.28062097091668,-31.42206831120798,-41.571855435689606,-29.834413525276023,3,Su
527,17,2,1,1,-27.434965810730805,-27.179252790411173,-190.4895384443925,-345.6258098862588,1,H
528,17,3,0,0,-71.08744057920786,-91.43635722696435,-34.0760164061676,-84.14283962902215,2,D
529,17,3,0,1,-107.80787839997667,-110.52467725639156,-274.63262733197826,-716.3838489810432,0,S
530,17,3,1,0,-38.31310359806255,-23.689473456879746,40.06697059152951,-31.449437800717693,2,D
531,17,3,1,1,-32.320337377478936,7.442848104762029,-469.2147082535009,-272.54800197557523,1,H
532,17,4,0,0,-39.63899659768898,-82.84085024762406,-110.77542000277498,-90.15871431120257,0,S
533,17,4,0,1,-79.1036860593069,-100.0441915155311,-487.81037520801317,-701.7902859230934,0,S
534,17,4,1,0,-34.50295010874219,-33.36282300950835,-66.05923139265349,-34.87020741574848,1,H
535,17,4,1,1,-36.27302819953424,-24.81223345900416,-345.22181232425544,-270.6351296224775,1,H
536,17,5,0,0,-59.7916113555565,-94.3088369838319,-85.39263582978805,-85.24269966111376,0,S
537,17,5,0,1,-25.752267036933826,-65.45266888316479,-703.2211219997554,-753.9219606644531,0,S
538,17,5,1,0,-25.589712566411485,-16.844393876103393,-26.926411079973775,-24.683008057816764,1,H
539,17,5,1,1,2.6351716661294695,-19.779695360084343,-191.29035398892313,-100.0,0,S
540,17,6,0,0,25.73561836287104,-72.53667851043444,-53.937660227216355,-68.80963258614113,0,S
541,17,6,0,1,-36.06931499665761,-74.71829073143249,-480.6262373469656,-891.2136755863798,0,S
542,17,6,1,0,-34.39860685586681,-30.949094179939372,-39.451635446471045,-38.932323464284224,1,H
543,17,6,1,1,-23.94137709161158,-16.44211970989971,-190.64232202175089,-100.0,1,H
544,17,7,0,0,-65.4400958258847,-102.7425994222861,-106.33630228990621,-88.83722125861289,0,S
545,17,7,0,1,-48.23014826374782,-86.49997341111815,-834.5767811461723,-769.1788487799104,0,S
546,17,7,1,0,-33.21832488702352,-13.002242538220042,-47.89250342836024,-34.38685955092349,1,H
547,17,7,1,1,-37.329076757323904,-15.633405400775468,-270.83205834589796,-191.72003904538775,1,H
548,17,8,0,0,-100.42736713574678,-105.86608990463618,-173.9516203263782,-99.96006224371497,3,Su
549,17,8,0,1,-77.01085533815929,-86.0500108841812,-759.2193705368841,-548.8361535474309,0,S
550,17,8,1,0,-56.59053101272879,-39.90376363570998,-65.46766323225788,-63.520259155986444,1,H
551,17,8,1,1,-39.101587627924566,-21.673354207954535,-190.27080403491502,-100.0,1,H
552,17,9,0,0,-87.60658844495467,-95.4991807348413,-80.03631436653276,-64.52773091014876,3,Su
553,17,9,0,1,-36.547786704719414,-92.62573901974321,-683.3410683220181,-717.7074288746319,0,S
554,17,9,1,0,-49.7853790684288,-26.534154022487723,-59.93038730296198,-46.96399475571808,1,H
555,17,9,1,1,-36.95721725256149,-25.89181071066129,-100.0,-275.13037555871455,1,H
556,17,10,0,0,-116.29544505240193,-118.44969918504994,-144.12420901925447,-95.97837825131323,3,Su
557,17,10,0,1,-121.78453259599816,-118.71792885049778,-1023.1815276915532,-1046.203145859668,1,H
558,17,10,1,0,-72.61027262702939,-60.13313360478294,-118.0739156703524,-69.16092854160986,1,H
559,17,10,1,1,-65.14865290132859,-63.580964049752126,-191.63637460736084,-192.02968001349524,1,H
560,18,1,0,0,-96.16412295402165,-107.92668955228837,-151.1169481810068,-92.44341355691071,3,Su
561,18,1,0,1,-63.01055268746435,-113.25936840311162,-536.5856434832878,-782.4837315772419,0,S
562,18,1,1,0,-73.72771094549795,-51.93080162643748,-63.280309498850315,-60.8341850253771,1,H
563,18,1,1,1,-45.15905036638879,-50.497921452844714,-100.0,-100.0,0,S
564,18,2,0,0,-8.58392230248094,-96.91949402551886,-155.2024598631837,-69.23551111283984,0,S
565,18,2,0,1,-9.534427881922737,-87.04840414277596,-804.8699776990492,-728.0715023012593,0,S
