,State,Action
463,"(15, 6, 1, 1)",1
464,"(15, 7, 0, 0)",1
465,"(15, 7, 0, 1)",1
466,"(15, 7, 1, 0)",1
467,"(15, 7, 1, 1)",1
468,"(15, 8, 0, 0)",1
469,"(15, 8, 0, 1)",1
470,"(15, 8, 1, 0)",1
471,"(15, 8, 1, 1)",1
472,"(15, 9, 0, 0)",1
473,"(15, 9, 0, 1)",1
474,"(15, 9, 1, 0)",1
475,"(15, 9, 1, 1)",1
476,"(15, 10, 0, 0)",3
477,"(15, 10, 0, 1)",1
478,"(15, 10, 1, 0)",1
479,"(15, 10, 1, 1)",1
480,"(16, 1, 0, 0)",3
481,"(16, 1, 0, 1)",1
482,"(16, 1, 1, 0)",1
483,"(16, 1, 1, 1)",1
484,"(16, 2, 0, 0)",0
485,"(16, 2, 0, 1)",0
486,"(16, 2, 1, 0)",1
487,"(16, 2, 1, 1)",1
488,"(16, 3, 0, 0)",0
489,"(16, 3, 0, 1)",0
490,"(16, 3, 1, 0)",1
491,"(16, 3, 1, 1)",1
492,"(16, 4, 0, 0)",0
493,"(16, 4, 0, 1)",0
494,"(16, 4, 1, 0)",2
495,"(16, 4, 1, 1)",1
496,"(16, 5, 0, 0)",0
497,"(16, 5, 0, 1)",0
498,"(16, 5, 1, 0)",2
499,"(16, 5, 1, 1)",1
500,"(16, 6, 0, 0)",0
501,"(16, 6, 0, 1)",0
502,"(16, 6, 1, 0)",2
503,"(16, 6, 1, 1)",1
504,"(16, 7, 0, 0)",1
505,"(16, 7, 0, 1)",1
506,"(16, 7, 1, 0)",1
507,"(16, 7, 1, 1)",1
508,"(16, 8, 0, 0)",1
509,"(16, 8, 0, 1)",1
510,"(16, 8, 1, 0)",1
511,"(16, 8, 1, 1)",1
512,"(16, 9, 0, 0)",3
513,"(16, 9, 0, 1)",1
514,"(16, 9, 1, 0)",1
515,"(16, 9, 1, 1)",1
516,"(16, 10, 0, 0)",3
517,"(16, 10, 0, 1)",1
518,"(16, 10, 1, 0)",1
519,"(16, 10, 1, 1)",1
520,"(17, 1, 0, 0)",0
521,"(17, 1, 0, 1)",0
522,"(17, 1, 1, 0)",1
523,"(17, 1, 1, 1)",1
524,"(17, 2, 0, 0)",0
525,"(17, 2, 0, 1)",0
526,"(17, 2, 1, 0)",1
527,"(17, 2, 1, 1)",1
528,"(17, 3, 0, 0)",0
529,"(17, 3, 0, 1)",0
530,"(17, 3, 1, 0)",2
531,"(17, 3, 1, 1)",1
532,"(17, 4, 0, 0)",0
533,"(17, 4, 0, 1)",0
534,"(17, 4, 1, 0)",2
535,"(17, 4, 1, 1)",1
536,"(17, 5, 0, 0)",0
537,"(17, 5, 0, 1)",0
538,"(17, 5, 1, 0)",2
539,"(17, 5, 1, 1)",1
540,"(17, 6, 0, 0)",0
541,"(17, 6, 0, 1)",0
542,"(17, 6, 1, 0)",2
543,"(17, 6, 1, 1)",1
544,"(17, 7, 0, 0)",0
545,"(17, 7, 0, 1)",0
546,"(17, 7, 1, 0)",1
547,"(17, 7, 1, 1)",1
548,"(17, 8, 0, 0)",0
549,"(17, 8, 0, 1)",0
550,"(17, 8, 1, 0)",1
551,"(17, 8, 1, 1)",1
552,"(17, 9, 0, 0)",0
553,"(17, 9, 0, 1)",0
554,"(17, 9, 1, 0)",1
555,"(17, 9, 1, 1)",1
556,"(17, 10, 0, 0)",0
557,"(17, 10, 0, 1)",0
558,"(17, 10, 1, 0)",1
